te,pkt,byt
2016-06-01 10:20:00,12607216,8435255639
2016-06-01 10:25:00,14553934,10093693761
2016-06-01 10:30:00,13172653,9058116811
2016-06-01 10:35:00,13712244,9375101020
2016-06-01 10:40:00,12403821,8638941176
2016-06-01 10:45:00,11213015,6195202358
2016-06-01 10:50:00,13113463,8713758961
2016-06-01 10:55:00,13228059,8757618913
2016-06-01 11:00:00,13557576,8902701409
2016-06-01 11:05:00,13463114,9244046983
2016-06-01 11:10:00,14284495,9896440216
2016-06-01 11:15:00,13992064,9501193880
2016-06-01 11:20:00,12932282,8778070960
2016-06-01 11:25:00,13137749,8624065602
2016-06-01 11:30:00,14496937,9428453543
2016-06-01 11:35:00,14048312,9177277651
2016-06-01 11:40:00,14179114,9363207349
2016-06-01 11:45:00,13478103,8913929879
2016-06-01 11:50:00,13706508,9020582804
2016-06-01 11:55:00,13736637,9119466423
2016-06-01 12:00:00,13550375,9030747999
2016-06-01 12:05:00,14234181,9434475612
2016-06-01 12:10:00,14313740,10141954914
2016-06-01 12:15:00,14595575,9796037750
2016-06-01 12:20:00,13986950,9318158443
2016-06-01 12:25:00,13914667,9023461218
2016-06-01 12:30:00,14589937,10101072445
2016-06-01 12:35:00,14507223,9897391585
2016-06-01 12:40:00,14391511,9984066023
2016-06-01 12:45:00,13388336,9163794553
2016-06-01 12:50:00,14254409,9556508051
2016-06-01 12:55:00,13817170,9755660783
2016-06-01 13:00:00,14365831,9782113755
2016-06-01 13:05:00,13994206,9512041869
2016-06-01 13:10:00,13308908,8974989726
2016-06-01 13:15:00,13469797,9114637419
2016-06-01 13:20:00,13911757,9295980208
2016-06-01 13:25:00,13499040,8984728540
2016-06-01 13:30:00,14343553,9952577312
2016-06-01 13:35:00,13558879,9237774424
2016-06-01 13:40:00,14325263,9956698056
2016-06-01 13:45:00,13048626,8820654864
2016-06-01 13:50:00,10883104,6727341510
2016-06-01 13:55:00,15312536,10612371046
2016-06-01 14:00:00,13487500,9627118463
2016-06-01 14:05:00,11790731,8319158787
2016-06-01 14:10:00,11343632,7799318493
2016-06-01 14:15:00,10875373,7332613844
2016-06-01 14:20:00,10725167,7283687599
2016-06-01 14:25:00,10482878,7070469018
2016-06-01 14:30:00,10745886,7427713959
2016-06-01 14:35:00,9938658,6657784323
2016-06-01 14:40:00,9836839,6628125974
2016-06-01 14:45:00,10829073,7327472123
2016-06-01 14:50:00,10433308,7138787607
2016-06-01 14:55:00,10573903,7359318439
2016-06-01 15:00:00,11942171,8034682631
2016-06-01 15:05:00,11340482,7660813954
2016-06-01 15:10:00,11315257,7776364201
2016-06-01 15:15:00,11334447,7935982175
2016-06-01 15:20:00,11151295,7460291005
2016-06-01 15:25:00,11174724,7555811529
2016-06-01 15:30:00,11202700,7672238236
2016-06-01 15:35:00,10665054,7643320746
2016-06-01 15:40:00,10703701,7161752887
2016-06-01 15:45:00,11527460,8220871458
2016-06-01 15:50:00,11250467,7633101362
2016-06-01 15:55:00,11644233,7989273312
2016-06-01 16:00:00,12555908,8670031355
2016-06-01 16:05:00,12235014,8445469951
2016-06-01 16:10:00,13990267,10517420071
2016-06-01 16:15:00,12621993,9143380750
2016-06-01 16:20:00,13037321,9182779247
2016-06-01 16:25:00,12670503,8687015177
2016-06-01 16:30:00,13035076,9225705012
2016-06-01 16:35:00,12515615,8501772721
2016-06-01 16:40:00,13523649,9300973183
2016-06-01 16:45:00,13388477,9300561116
2016-06-01 16:50:00,14569393,10800381801
2016-06-01 16:55:00,14591556,10372840673
2016-06-01 17:00:00,13999164,9863797298
2016-06-01 17:05:00,14734348,10383666961
2016-06-01 17:10:00,15492602,11258983121
2016-06-01 17:15:00,14882187,10491480675
2016-06-01 17:20:00,14765222,10973492468
2016-06-01 17:25:00,15896592,11149329432
2016-06-01 17:30:00,13973930,8732469771
2016-06-01 17:35:00,15605747,11057788781
2016-06-01 17:40:00,14810452,10537702876
2016-06-01 17:45:00,14887377,10763469158
2016-06-01 17:50:00,13354317,9355440492
2016-06-01 17:55:00,12956456,8989814710
2016-06-01 18:00:00,12925457,8812164867
2016-06-01 18:05:00,13693713,9588235040
2016-06-01 18:10:00,13743974,9686260698
2016-06-01 18:15:00,14075363,10128542932
2016-06-01 18:20:00,13299508,9348571283
2016-06-01 18:25:00,13501851,9809077640
2016-06-01 18:30:00,13066714,9638077030
2016-06-01 18:35:00,13843341,9544813814
2016-06-01 18:40:00,14359330,10267999727
2016-06-01 18:45:00,13653472,9447539696
2016-06-01 18:50:00,11447822,6647814957
2016-06-01 18:55:00,12559691,8635248691
2016-06-01 19:00:00,13759816,9449762128
2016-06-01 19:05:00,13542547,9307064261
2016-06-01 19:10:00,12301380,8335614861
2016-06-01 19:15:00,12566068,8755078479
2016-06-01 19:20:00,12289481,8315018376
2016-06-01 19:25:00,11946150,8390570236
2016-06-01 19:30:00,14450113,10020122128
2016-06-01 19:35:00,15770066,12679932164
2016-06-01 19:40:00,12274512,8659363722
2016-06-01 19:45:00,11591979,8209569881
2016-06-01 19:50:00,9985505,7346964730
2016-06-01 19:55:00,12295809,8692780744
2016-06-01 20:00:00,10264924,5754983333
2016-06-01 20:05:00,11184652,7499771488
2016-06-01 20:10:00,11198119,7968889087
2016-06-01 20:15:00,11442036,7930092838
2016-06-01 20:20:00,11502596,8066782289
2016-06-01 20:25:00,11583614,8178890622
2016-06-01 20:30:00,11454138,8003944583
2016-06-01 20:35:00,10997467,7701978482
2016-06-01 20:40:00,10546831,7843821693
2016-06-01 20:45:00,10335194,7413774380
2016-06-01 20:50:00,10613546,7263479285
2016-06-01 20:55:00,8597730,4793906643
2016-06-01 21:00:00,11273402,7925986252
2016-06-01 21:05:00,10695526,7598454091
2016-06-01 21:10:00,10913022,7603860010
2016-06-01 21:15:00,10316033,7160373388
2016-06-01 21:20:00,10235257,7051669141
2016-06-01 21:25:00,10437316,7366570874
2016-06-01 21:30:00,10196147,7761936798
2016-06-01 21:35:00,9755198,6712955010
2016-06-01 21:40:00,10364942,7166675210
2016-06-01 21:45:00,10237079,7278423019
2016-06-01 21:50:00,10629266,7551047161
2016-06-01 21:55:00,10444262,7467482610
2016-06-01 22:00:00,9874261,5941146632
2016-06-01 22:05:00,12390733,9349324419
2016-06-01 22:10:00,10706969,7839559249
2016-06-01 22:15:00,11315211,8125720008
2016-06-01 22:20:00,11193686,8034260570
2016-06-01 22:25:00,9923794,7191848065
2016-06-01 22:30:00,10937832,7725682682
2016-06-01 22:35:00,9911687,7035667706
2016-06-01 22:40:00,11251192,7853587662
2016-06-01 22:45:00,10643139,7457856420
2016-06-01 22:50:00,11247630,7884089005
2016-06-01 22:55:00,11252007,7874424198
2016-06-01 23:00:00,10133779,6047170707
2016-06-01 23:05:00,11982792,8826881310
2016-06-01 23:10:00,12720574,9244520327
2016-06-01 23:15:00,13055971,9484165915
2016-06-01 23:20:00,11475834,8654599422
2016-06-01 23:25:00,13669891,9983860323
2016-06-01 23:30:00,13330294,9949290274
2016-06-01 23:35:00,12076566,8928154199
2016-06-01 23:40:00,11447465,8386386552
2016-06-01 23:45:00,11247745,8039351905
2016-06-01 23:50:00,11626956,8688787343
2016-06-01 23:55:00,12210165,9098843681
2016-06-02 00:00:00,11954030,9029921388
2016-06-02 00:05:00,11003604,7819671877
2016-06-02 00:10:00,11580336,8777638099
2016-06-02 00:15:00,10470784,7650898276
2016-06-02 00:20:00,8717721,5410359855
2016-06-02 00:25:00,10309873,7529143583
2016-06-02 00:30:00,10438016,7959378639
2016-06-02 00:35:00,12272330,9755708251
2016-06-02 00:40:00,10352961,7490756686
2016-06-02 00:45:00,9129015,6577055958
2016-06-02 00:50:00,7532333,4242643217
2016-06-02 00:55:00,9700867,6951449212
2016-06-02 01:00:00,11295679,8484992719
2016-06-02 01:05:00,10350227,7760760635
2016-06-02 01:10:00,10148420,7591344745
2016-06-02 01:15:00,9546925,6929489617
2016-06-02 01:20:00,9491458,6942001396
2016-06-02 01:25:00,8983454,6377154230
2016-06-02 01:30:00,10190969,7339147059
2016-06-02 01:35:00,9348143,6743592196
2016-06-02 01:40:00,9914570,7312597623
2016-06-02 01:45:00,9073528,6646004540
2016-06-02 01:50:00,8940538,6799833341
2016-06-02 01:55:00,9181869,6530544848
2016-06-02 02:00:00,9803291,7037840511
2016-06-02 02:05:00,8535732,5976308450
2016-06-02 02:10:00,8570819,5856111648
2016-06-02 02:15:00,7805715,5319843464
2016-06-02 02:20:00,7343494,5033610041
2016-06-02 02:25:00,7036927,4554852610
2016-06-02 02:30:00,7200671,4589613147
2016-06-02 02:35:00,7178465,4937634557
2016-06-02 02:40:00,7015703,4758620469
2016-06-02 02:45:00,7044537,4757879266
2016-06-02 02:50:00,10036639,6899215481
2016-06-02 02:55:00,9877316,6835016901
2016-06-02 03:00:00,10775967,7406334354
2016-06-02 03:05:00,9933424,7097959015
2016-06-02 03:10:00,9334882,5974610552
2016-06-02 03:15:00,9867224,6778282278
2016-06-02 03:20:00,7092117,4836202199
2016-06-02 03:25:00,11171065,7416507125
2016-06-02 03:30:00,10087565,7802921234
2016-06-02 03:35:00,10450497,7409166308
2016-06-02 03:40:00,10580786,7500691498
2016-06-02 03:45:00,10358955,7297917396
2016-06-02 03:50:00,9277258,6508895682
2016-06-02 03:55:00,7575034,5213793955
2016-06-02 04:00:00,11258146,8019647894
2016-06-02 04:05:00,7180720,4991671648
2016-06-02 04:10:00,8779035,5709116695
2016-06-02 04:15:00,8761402,5631236953
2016-06-02 04:20:00,9335668,5972959879
2016-06-02 04:25:00,6173918,4319105977
2016-06-02 04:30:00,6995551,4639876651
2016-06-02 04:35:00,7063226,4759933819
2016-06-02 04:40:00,5756881,3111216456
2016-06-02 04:45:00,6855920,4531626140
2016-06-02 04:50:00,6532165,4428151149
2016-06-02 04:55:00,6656752,4321000745
2016-06-02 05:00:00,7387505,4964089463
2016-06-02 05:05:00,7696412,5301162976
2016-06-02 05:10:00,7640906,5256380024
2016-06-02 05:15:00,7226563,4937457022
2016-06-02 05:20:00,7937153,5491606349
2016-06-02 05:25:00,6670677,3404151698
2016-06-02 05:30:00,8928705,6385608858
2016-06-02 05:35:00,8204770,5572632152
2016-06-02 05:40:00,7108977,5164049995
2016-06-02 05:45:00,8078987,5466644521
2016-06-02 05:50:00,8333892,5982939537
2016-06-02 05:55:00,8839947,6563152783
2016-06-02 06:00:00,10156274,7604118373
2016-06-02 06:05:00,15631062,12135826604
2016-06-02 06:10:00,13580525,10402206088
2016-06-02 06:15:00,10438199,7906567777
2016-06-02 06:20:00,11388943,7289560341
2016-06-02 06:25:00,10737849,8143814990
2016-06-02 06:30:00,10518489,7486766987
2016-06-02 06:35:00,9392482,7030137550
2016-06-02 06:40:00,9222689,7040039096
2016-06-02 06:45:00,8389543,5887590743
2016-06-02 06:50:00,10851245,8798332171
2016-06-02 06:55:00,8682324,6346629880
2016-06-02 07:00:00,10410273,8124349501
2016-06-02 07:05:00,9132139,6249748506
2016-06-02 07:10:00,8806994,5956373501
2016-06-02 07:15:00,8983582,6395223318
2016-06-02 07:20:00,9562993,6828449664
2016-06-02 07:25:00,7076436,3845759114
2016-06-02 07:30:00,8429379,6233920173
2016-06-02 07:35:00,10503051,7539034667
2016-06-02 07:40:00,9105038,6692501076
2016-06-02 07:45:00,8373728,6137862795
2016-06-02 07:50:00,8406086,6161935932
2016-06-02 07:55:00,7685638,5242802670
2016-06-02 08:00:00,8997718,6447819004
2016-06-02 08:05:00,7347792,3973662440
2016-06-02 08:10:00,8427694,5808535963
2016-06-02 08:15:00,8834579,6666415976
2016-06-02 08:20:00,9113531,6458405518
2016-06-02 08:25:00,9472052,6649227067
2016-06-02 08:30:00,9223914,6408196257
2016-06-02 08:35:00,10438809,7808098219
2016-06-02 08:40:00,8628218,5590515299
2016-06-02 08:45:00,7418531,4187038753
2016-06-02 08:50:00,7452568,4311006150
2016-06-02 08:55:00,7778598,4547182860
2016-06-02 09:00:00,8697287,4855433962
2016-06-02 09:05:00,8528639,4650752720
2016-06-02 09:10:00,8308839,4461556421
2016-06-02 09:15:00,9125041,5279258477
2016-06-02 09:20:00,8707463,4841585447
2016-06-02 09:25:00,9932047,5640794653
2016-06-02 09:30:00,9575618,5667047463
2016-06-02 09:35:00,9334846,5449013866
2016-06-02 09:40:00,10407090,6028525493
2016-06-02 09:45:00,10830649,6088974386
2016-06-02 09:50:00,9883735,5209120550
2016-06-02 09:55:00,11689805,6638759355
2016-06-02 10:00:00,10571604,6036967379
2016-06-02 10:05:00,10291498,6106797971
2016-06-02 10:10:00,10674158,6322178295
2016-06-02 10:15:00,10295128,6087747901
2016-06-02 10:20:00,10531317,6320920845
2016-06-02 10:25:00,11018445,6414979968
2016-06-02 10:30:00,10462631,5879447800
2016-06-02 10:35:00,11273847,6595483629
2016-06-02 10:40:00,10900225,6416968216
2016-06-02 10:45:00,10676609,6206266722
2016-06-02 10:50:00,12053695,7488434170
2016-06-02 10:55:00,10950508,6441780135
2016-06-02 11:00:00,11612505,7163034949
2016-06-02 11:05:00,11805335,7539556184
2016-06-02 11:10:00,11002724,6607044324
2016-06-02 11:15:00,10980553,6436542491
2016-06-02 11:20:00,10213703,5824748259
2016-06-02 11:25:00,11287614,6909205708
2016-06-02 11:30:00,12271146,7365773320
2016-06-02 11:35:00,11392222,7050802080
2016-06-02 11:40:00,11675869,6987719478
2016-06-02 11:45:00,10767641,6491766714
2016-06-02 11:50:00,10580738,6166886891
2016-06-02 11:55:00,10131382,5686291439
2016-06-02 12:00:00,11325901,7255743702
2016-06-02 12:05:00,11832737,7118660136
2016-06-02 12:10:00,16137708,11610149174
2016-06-02 12:15:00,12187289,7554488155
2016-06-02 12:20:00,10891662,6456502418
2016-06-02 12:25:00,11054637,6517269426
2016-06-02 12:30:00,10937341,6504499148
2016-06-02 12:35:00,11120485,7006595727
2016-06-02 12:40:00,11763779,7350553835
2016-06-02 12:45:00,11558797,7292686343
2016-06-02 12:50:00,11493485,7127776173
2016-06-02 12:55:00,11249027,6717911729
2016-06-02 13:00:00,12368667,7517120347
2016-06-02 13:05:00,12543051,7699146403
2016-06-02 13:10:00,12543991,7995546317
2016-06-02 13:15:00,11735384,7122734298
2016-06-02 13:20:00,12695640,8155414778
2016-06-02 13:25:00,13351543,9060653526
2016-06-02 13:30:00,11518566,6888932814
2016-06-02 13:35:00,11529714,7445359918
2016-06-02 13:40:00,13742564,8729911023
2016-06-02 13:45:00,10894064,6542557656
2016-06-02 13:50:00,11393343,7106498310
2016-06-02 13:55:00,10609719,6431783432
2016-06-02 14:00:00,9367640,5170916166
2016-06-02 14:05:00,10087389,6056456544
2016-06-02 14:10:00,9913233,5958064513
2016-06-02 14:15:00,9760204,6016105294
2016-06-02 14:20:00,8916455,5375880104
2016-06-02 14:25:00,9751698,6150463645
2016-06-02 14:30:00,9888325,6135160697
2016-06-02 14:35:00,8788811,5397976413
2016-06-02 14:40:00,9025490,5467560452
2016-06-02 14:45:00,8790430,5103184284
2016-06-02 14:50:00,8626701,5154647689
2016-06-02 14:55:00,8709536,5302593294
2016-06-02 15:00:00,8932995,5473652562
2016-06-02 15:05:00,9086659,5644781993
2016-06-02 15:10:00,8571251,5250902341
2016-06-02 15:15:00,8398435,5175893096
2016-06-02 15:20:00,8508791,5326452000
2016-06-02 15:25:00,9529081,6276463971
2016-06-02 15:30:00,9282556,5876028318
2016-06-02 15:35:00,8584891,5294667287
2016-06-02 15:40:00,8781706,5382368451
2016-06-02 15:45:00,9001878,5756579860
2016-06-02 15:50:00,9877254,6527510325
2016-06-02 15:55:00,10023598,6513760388
2016-06-02 16:00:00,10983072,7379965807
2016-06-02 16:05:00,11042468,7639616701
2016-06-02 16:10:00,10176637,6526694892
2016-06-02 16:15:00,11771901,8105322946
2016-06-02 16:20:00,11615815,7654616387
2016-06-02 16:25:00,10501057,6495267702
2016-06-02 16:30:00,11995599,8014116474
2016-06-02 16:35:00,12718084,8549312880
2016-06-02 16:40:00,11938379,7599795141
2016-06-02 16:45:00,11939383,7449474460
2016-06-02 16:50:00,11073385,6643917229
2016-06-02 16:55:00,11703584,6943476539
2016-06-02 17:00:00,12234283,7401292334
2016-06-02 17:05:00,11870934,7179259571
2016-06-02 17:10:00,12650856,8045917687
2016-06-02 17:15:00,12737814,8391495633
2016-06-02 17:20:00,12224042,7892963975
2016-06-02 17:25:00,12287831,7816359818
2016-06-02 17:30:00,12543132,8207679889
2016-06-02 17:35:00,12415370,7690103594
2016-06-02 17:40:00,12792994,8058857683
2016-06-02 17:45:00,13336955,8545563504
2016-06-02 17:50:00,12557214,7936424639
2016-06-02 17:55:00,12512363,7976567548
2016-06-02 18:00:00,12615010,8392397235
2016-06-02 18:05:00,12206995,7642825406
2016-06-02 18:10:00,13252237,9057524806
2016-06-02 18:15:00,12606467,8444197076
2016-06-02 18:20:00,13236816,8872779581
2016-06-02 18:25:00,13525080,9001941033
2016-06-02 18:30:00,13005387,8504028858
2016-06-02 18:35:00,13515801,9063225859
2016-06-02 18:40:00,13096747,8603253487
2016-06-02 18:45:00,13427643,8978591722
2016-06-02 18:50:00,12125199,7931345082
2016-06-02 18:55:00,11925994,7384375935
2016-06-02 19:00:00,13269130,8929246143
2016-06-02 19:05:00,12035366,7766815234
2016-06-02 19:10:00,11846584,7905910559
2016-06-02 19:15:00,11575103,7370953357
2016-06-02 19:20:00,11666999,7506429835
2016-06-02 19:25:00,12336449,8112373397
2016-06-02 19:30:00,12641136,8330969633
2016-06-02 19:35:00,12903976,8437253731
2016-06-02 19:40:00,12771094,8669792833
2016-06-02 19:45:00,11176858,7165444785
2016-06-02 19:50:00,10653614,7072871122
2016-06-02 19:55:00,11041824,7395418289
2016-06-02 20:00:00,10439954,6667185737
2016-06-02 20:05:00,11396979,7612489275
2016-06-02 20:10:00,10926319,7355243040
2016-06-02 20:15:00,10090972,6511410671
2016-06-02 20:20:00,8844599,5626137361
2016-06-02 20:25:00,9966749,6428215455
2016-06-02 20:30:00,10062937,6546938696
2016-06-02 20:35:00,10199900,6766069137
2016-06-02 20:40:00,9892327,6485827361
2016-06-02 20:45:00,9867100,6501053614
2016-06-02 20:50:00,11117952,7592350918
2016-06-02 20:55:00,9635605,6156064353
2016-06-02 21:00:00,11018542,6926453895
2016-06-02 21:05:00,12433334,8927598007
2016-06-02 21:10:00,11886786,8800521423
2016-06-02 21:15:00,11472989,8157517262
2016-06-02 21:20:00,12124884,8790536423
2016-06-02 21:25:00,12564288,9426572677
2016-06-02 21:30:00,13017270,9466789360
2016-06-02 21:35:00,12529554,9147906177
2016-06-02 21:40:00,10306636,7501508529
2016-06-02 21:45:00,10475109,7128233230
2016-06-02 21:50:00,11647867,8538649502
2016-06-02 21:55:00,12946770,9243520074
2016-06-02 22:00:00,12232067,9038343259
2016-06-02 22:05:00,13563179,10219300094
2016-06-02 22:10:00,13132059,10149689570
2016-06-02 22:15:00,12691448,9532989229
2016-06-02 22:20:00,11077201,8112908887
2016-06-02 22:25:00,12133465,8850366630
2016-06-02 22:30:00,12298550,9097430583
2016-06-02 22:35:00,11917236,8944821810
2016-06-02 22:40:00,12458130,9359348076
2016-06-02 22:45:00,13495944,9909244453
2016-06-02 22:50:00,11798912,9092823130
2016-06-02 22:55:00,12124855,9212309105
2016-06-02 23:00:00,12243521,8992665712
2016-06-02 23:05:00,13070376,9915780960
2016-06-02 23:10:00,13309529,10047560162
2016-06-02 23:15:00,13688466,10341203153
2016-06-02 23:20:00,12050797,9095698993
2016-06-02 23:25:00,11482319,8306817734
2016-06-02 23:30:00,12830943,9909531154
2016-06-02 23:35:00,11753518,8817672135
2016-06-02 23:40:00,9750625,6277659902
2016-06-02 23:45:00,11139772,8446263077
2016-06-02 23:50:00,11388205,8933925557
2016-06-02 23:55:00,13774977,10748438521
2016-06-03 00:00:00,13801453,10712654350
2016-06-03 00:05:00,12483752,9995112508
2016-06-03 00:10:00,10112336,7236464447
2016-06-03 00:15:00,10555069,7401913493
2016-06-03 00:20:00,11334654,8615827500
2016-06-03 00:25:00,12436117,9195345625
2016-06-03 00:30:00,12082387,9488091090
2016-06-03 00:35:00,11471333,8717702025
2016-06-03 00:40:00,11487874,8670673398
2016-06-03 00:45:00,11130002,8296125430
2016-06-03 00:50:00,10319236,7599686963
2016-06-03 00:55:00,11805191,8909539746
2016-06-03 01:00:00,11212879,8248492334
2016-06-03 01:05:00,12025276,9206682264
2016-06-03 01:10:00,10097401,7174889217
2016-06-03 01:15:00,10302247,7408966914
2016-06-03 01:20:00,10637905,7725328553
2016-06-03 01:25:00,10687349,8319801003
2016-06-03 01:30:00,10308229,7538149110
2016-06-03 01:35:00,9423848,6811901820
2016-06-03 01:40:00,9489208,6950004078
2016-06-03 01:45:00,9447941,6900967101
2016-06-03 01:50:00,9281901,6795949580
2016-06-03 01:55:00,9826097,7135783205
2016-06-03 02:00:00,10122889,7879865777
2016-06-03 02:05:00,9376791,6683971161
2016-06-03 02:10:00,8927616,6517832913
2016-06-03 02:15:00,8984687,6611729461
2016-06-03 02:20:00,8612758,6239043440
2016-06-03 02:25:00,8095976,5743079061
2016-06-03 02:30:00,7453206,5257076426
2016-06-03 02:35:00,7423350,5065131368
2016-06-03 02:40:00,7558833,5502443024
2016-06-03 02:45:00,7886099,5670345410
2016-06-03 02:50:00,7918335,5665154030
2016-06-03 02:55:00,8219349,5900670539
2016-06-03 03:00:00,8892854,6363460175
2016-06-03 03:05:00,9819380,7140557268
2016-06-03 03:10:00,9342400,6784745452
2016-06-03 03:15:00,8794244,6384737335
2016-06-03 03:20:00,8854249,6391228463
2016-06-03 03:25:00,8183893,5852850385
2016-06-03 03:30:00,8953153,6589866893
2016-06-03 03:35:00,10819818,7790581963
2016-06-03 03:40:00,10465239,7441562279
2016-06-03 03:45:00,10740691,7660481335
2016-06-03 03:50:00,9040342,5353199377
2016-06-03 03:55:00,10777862,7568659603
2016-06-03 04:00:00,10280439,7313544916
2016-06-03 04:05:00,8400299,5872177085
2016-06-03 04:10:00,12139454,8322505046
2016-06-03 04:15:00,12852277,8946835836
2016-06-03 04:20:00,13994068,9779374880
2016-06-03 04:25:00,10630940,7570158683
2016-06-03 04:30:00,7745205,5267008239
2016-06-03 04:35:00,10659727,7431511223
2016-06-03 04:40:00,11322145,8444627614
2016-06-03 04:45:00,9704655,6766554179
2016-06-03 04:50:00,7435559,5032785142
2016-06-03 04:55:00,7209008,4782144367
